from club,to club,league,player name,age,position,fee,transfer type,period,year,season,tranfer between
FC Barcelona,Everton FC,Premier League,Gerard Deulofeu,21,Left Winger,5.4M,sold,Summer,2015,2015/2016,international
FC Barcelona,FC Barcelona,Primera Division,Alen Halilovic,19,Attacking Midfield,NA,sold,Summer,2015,2015/2016,local
FC Barcelona,FC Barcelona,Primera Division,Munir El Haddadi,19,Centre-Forward,NA,sold,Summer,2015,2015/2016,local
FC Barcelona,FC Barcelona,Primera Division,Sandro Ramírez,19,Centre-Forward,NA,sold,Summer,2015,2015/2016,local
FC Barcelona,FC Internazionale,Primera Division,Martín Montoya,24,Right-Back,1.17M,on loan,Summer,2015,2015/2016,international
FC Barcelona,Inter Milan,Serie A,Martín Montoya,24,Right-Back,1.17M,on loan,Summer,2015,2015/2016,international
FC Barcelona,Real Betis Balompié,Primera Division,Martín Montoya,24,Right-Back,NA,on loan,Winter,2015,2015/2016,local
FC Barcelona,SC Braga,Liga Nos,Joan Román,22,Left Winger,NA,sold,Summer,2015,2015/2016,international
FC Barcelona,SL Benfica,Liga Nos,Alejandro Grimaldo,20,Left-Back,1.89M,sold,Winter,2015,2015/2016,international
FC Barcelona,SS Lazio,Serie A,Patric,22,Right-Back,0.45M,sold,Summer,2015,2015/2016,international
FC Barcelona,Sporting Gijón,Primera Division,Alen Halilovic,19,Attacking Midfield,NA,on loan,Summer,2015,2015/2016,local
FC Barcelona,Stoke City,Premier League,Ibrahim Afellay,29,Left Midfield,NA,sold,Summer,2015,2015/2016,international
FC Barcelona,Villarreal CF,Primera Division,Denis Suárez,21,Attacking Midfield,3.6M,sold,Summer,2015,2015/2016,local
FC Barcelona,West Ham United,Premier League,Alex Song,27,Defensive Midfield,NA,on loan,Summer,2015,2015/2016,international
FC Internazionale,FC Barcelona,Primera Division,Martín Montoya,24,Right-Back,NA,on loan,Winter,2015,2015/2016,international
FC Porto,FC Barcelona,Primera Division,Cristian Tello,24,Left Winger,NA,on loan,Winter,2015,2015/2016,international
Inter Milan,FC Barcelona,Serie A,Martín Montoya,24,Right-Back,NA,on loan,Winter,2015,2015/2016,international
Olympiacos,FC Barcelona,Primera Division,Ibrahim Afellay,29,Left Midfield,NA,on loan,Summer,2015,2015/2016,international
Sevilla FC,FC Barcelona,Primera Division,Aleix Vidal,25,Right-Back,15.3M,sold,Summer,2015,2015/2016,local
Sevilla FC,FC Barcelona,Primera Division,Denis Suárez,21,Attacking Midfield,NA,on loan,Summer,2015,2015/2016,local
Sevilla FC,FC Barcelona,Primera Division,Gerard Deulofeu,21,Left Winger,NA,on loan,Summer,2015,2015/2016,local
West Ham United,FC Barcelona,Premier League,Alex Song,27,Defensive Midfield,NA,on loan,Summer,2015,2015/2016,international
AC Fiorentina,FC Barcelona,Primera Division,Cristian Tello,24,Left Winger,NA,on loan,Summer,2016,2016/2017,international
ACF Fiorentina,FC Barcelona,Serie A,Cristian Tello,24,Left Winger,NA,on loan,Summer,2016,2016/2017,international
Ajax Amsterdam,FC Barcelona,Primera Division,Jasper Cillessen,27,Goalkeeper,11.7M,sold,Summer,2016,2016/2017,international
FC Barcelona,AC Fiorentina,Primera Division,Cristian Tello,25,Left Winger,0.45M,on loan,Summer,2016,2016/2017,international
FC Barcelona,ACF Fiorentina,Serie A,Cristian Tello,25,Left Winger,0.45M,on loan,Summer,2016,2016/2017,international
FC Barcelona,AS Roma,Serie A,Thomas Vermaelen,30,Centre-Back,NA,on loan,Summer,2016,2016/2017,international
FC Barcelona,Besiktas,Primera Division,Adriano,31,Centre-Forward,2.07M,sold,Summer,2016,2016/2017,international
FC Barcelona,Bor. Dortmund,Primera Division,Marc Bartra,25,Centre-Back,7.2M,sold,Summer,2016,2016/2017,international
FC Barcelona,Borussia Dortmund,1 Bundesliga,Marc Bartra,25,Centre-Back,7.2M,sold,Summer,2016,2016/2017,international
FC Barcelona,Deportivo Alavés,Primera Division,Adrián Ortolá,22,Goalkeeper,NA,on loan,Summer,2016,2016/2017,local
FC Barcelona,FC Barcelona,Primera Division,Sergi Samper,21,Defensive Midfield,NA,sold,Summer,2016,2016/2017,local
FC Barcelona,Granada CF,Primera Division,Sergi Samper,21,Defensive Midfield,NA,on loan,Summer,2016,2016/2017,local
FC Barcelona,Hamburger SV,1 Bundesliga,Alen Halilovic,20,Attacking Midfield,4.5M,sold,Summer,2016,2016/2017,international
FC Barcelona,Juventus FC,Serie A,Dani Alves,33,Right-Back,NA,sold,Summer,2016,2016/2017,international
FC Barcelona,Man City,Primera Division,Claudio Bravo,33,Goalkeeper,16.2M,sold,Summer,2016,2016/2017,international
FC Barcelona,Manchester City,Premier League,Claudio Bravo,33,Goalkeeper,16.2M,sold,Summer,2016,2016/2017,international
FC Barcelona,Málaga CF,Primera Division,Sandro Ramírez,20,Centre-Forward,NA,sold,Summer,2016,2016/2017,local
FC Barcelona,Rubin Kazan,Premier Liga,Alex Song,28,Defensive Midfield,NA,sold,Summer,2016,2016/2017,international
FC Barcelona,Sporting Gijón,Primera Division,Douglas,26,Central Midfield,NA,on loan,Summer,2016,2016/2017,local
FC Barcelona,Valencia CF,Primera Division,Martín Montoya,25,Right-Back,NA,sold,Summer,2016,2016/2017,local
FC Barcelona,Valencia CF,Primera Division,Munir El Haddadi,20,Centre-Forward,NA,on loan,Summer,2016,2016/2017,local
Olympique Lyon,FC Barcelona,Primera Division,Samuel Umtiti,22,Centre-Back,22.5M,sold,Summer,2016,2016/2017,international
Paris SG,FC Barcelona,Primera Division,Lucas Digne,22,Left-Back,14.85M,sold,Summer,2016,2016/2017,international
Paris Saint-Germain,FC Barcelona,Ligue 1,Lucas Digne,22,Left-Back,14.85M,sold,Summer,2016,2016/2017,international
Real Betis Balompié,FC Barcelona,Primera Division,Martín Montoya,25,Right-Back,NA,on loan,Summer,2016,2016/2017,local
Sporting Gijón,FC Barcelona,Primera Division,Alen Halilovic,20,Attacking Midfield,NA,on loan,Summer,2016,2016/2017,local
Valencia CF,FC Barcelona,Primera Division,André Gomes,22,Central Midfield,33.3M,sold,Summer,2016,2016/2017,local
Valencia CF,FC Barcelona,Primera Division,Paco Alcácer,23,Centre-Forward,27.0M,sold,Summer,2016,2016/2017,local
Villarreal CF,FC Barcelona,Primera Division,Denis Suárez,22,Attacking Midfield,2.93M,sold,Summer,2016,2016/2017,local
West Ham United,FC Barcelona,Premier League,Alex Song,28,Defensive Midfield,NA,on loan,Summer,2016,2016/2017,international
AC Fiorentina,FC Barcelona,Primera Division,Cristian Tello,25,Left Winger,NA,on loan,Summer,2017,2017/2018,international
ACF Fiorentina,FC Barcelona,Serie A,Cristian Tello,25,Left Winger,NA,on loan,Summer,2017,2017/2018,international
AS Roma,FC Barcelona,Serie A,Thomas Vermaelen,31,Centre-Back,NA,on loan,Summer,2017,2017/2018,international
Bor. Dortmund,FC Barcelona,Primera Division,Ousmane Dembélé,20,Right Winger,126.0M,sold,Summer,2017,2017/2018,international
Borussia Dortmund,FC Barcelona,1 Bundesliga,Ousmane Dembélé,20,Right Winger,126.0M,sold,Summer,2017,2017/2018,international
Celta de Vigo,FC Barcelona,Primera Division,David Costas,22,Centre-Back,NA,on loan,Summer,2017,2017/2018,local
Deportivo Alavés,FC Barcelona,Primera Division,Adrián Ortolá,23,Goalkeeper,NA,on loan,Summer,2017,2017/2018,local
Everton FC,FC Barcelona,Premier League,Gerard Deulofeu,23,Left Winger,10.8M,sold,Summer,2017,2017/2018,international
FC Barcelona,AS Monaco,Ligue 1,Jordi Mboula,18,Right Winger,2.7M,sold,Summer,2017,2017/2018,international
FC Barcelona,Basaksehir,Primera Division,Arda Turan,30,Left Winger,NA,on loan,Winter,2017,2017/2018,international
FC Barcelona,Borussia Dortmund,1 Bundesliga,Sergio Gómez,17,Left-Back,2.7M,sold,Winter,2017,2017/2018,international
FC Barcelona,CD Leganés,Primera Division,Gerard Gumbau,22,Defensive Midfield,NA,sold,Summer,2017,2017/2018,local
FC Barcelona,Deportivo Alavés,Primera Division,Munir El Haddadi,22,Centre-Forward,NA,on loan,Summer,2017,2017/2018,local
FC Barcelona,FC Internazionale,Primera Division,Rafinha,24,Right-Back,NA,on loan,Winter,2017,2017/2018,international
FC Barcelona,Girona FC,Primera Division,Choco Lozano,24,Centre-Forward,1.58M,sold,Winter,2017,2017/2018,local
FC Barcelona,HB CFFC,Primera Division,Javier Mascherano,33,Defensive Midfield,4.95M,sold,Winter,2017,2017/2018,local
FC Barcelona,Hellas Verona,Serie A,Seung-woo Lee,19,Left Winger,1.35M,sold,Summer,2017,2017/2018,international
FC Barcelona,Inter Milan,Serie A,Rafinha,24,Right-Back,NA,on loan,Winter,2017,2017/2018,international
FC Barcelona,OGC Nice,Primera Division,Marlon,21,Centre-Back,NA,on loan,Summer,2017,2017/2018,international
FC Barcelona,Paris SG,Primera Division,Neymar,25,Left Winger,199.8M,sold,Summer,2017,2017/2018,international
FC Barcelona,Paris Saint-Germain,Ligue 1,Neymar,25,Left Winger,199.8M,sold,Summer,2017,2017/2018,international
FC Barcelona,Real Betis Balompié,Primera Division,Cristian Tello,25,Left Winger,3.6M,sold,Summer,2017,2017/2018,local
FC Barcelona,Real Sociedad,Primera Division,David Concha,21,Right Winger,NA,on loan,Winter,2017,2017/2018,local
FC Barcelona,Real Valladolid CF,Primera Division,Jordi Masip,28,Goalkeeper,NA,sold,Summer,2017,2017/2018,local
FC Barcelona,SL Benfica,Primera Division,Douglas,27,Central Midfield,NA,on loan,Summer,2017,2017/2018,international
FC Barcelona,Sporting CP,Primera Division,Jérémy Mathieu,33,Centre-Back,NA,sold,Summer,2017,2017/2018,international
FC Barcelona,UD Las Palmas,Primera Division,Sergi Samper,22,Defensive Midfield,NA,on loan,Summer,2017,2017/2018,local
FC Barcelona,Watford FC,Premier League,Gerard Deulofeu,23,Left Winger,0.9M,on loan,Winter,2017,2017/2018,international
Fluminense,FC Barcelona,Primera Division,Marlon,21,Centre-Back,4.5M,sold,Summer,2017,2017/2018,international
GZ Evergrande,FC Barcelona,Primera Division,Paulinho,29,Central Midfield,36.0M,sold,Summer,2017,2017/2018,international
Girona FC,FC Barcelona,Primera Division,Juan Cámara,23,Right Winger,NA,on loan,Summer,2017,2017/2018,local
Granada CF,FC Barcelona,Primera Division,Sergi Samper,22,Defensive Midfield,NA,on loan,Summer,2017,2017/2018,local
Liverpool FC,FC Barcelona,Premier League,Philippe Coutinho,25,Attacking Midfield,121.5M,sold,Winter,2017,2017/2018,international
Palmeiras,FC Barcelona,Primera Division,Yerry Mina,23,Centre-Back,11.16M,sold,Winter,2017,2017/2018,international
Real Sociedad,FC Barcelona,Primera Division,David Concha,20,Right Winger,NA,on loan,Summer,2017,2017/2018,local
SD Eibar,FC Barcelona,Primera Division,Christian Rivera,20,Central Midfield,NA,on loan,Winter,2017,2017/2018,local
SL Benfica,FC Barcelona,Primera Division,Nélson Semedo,23,Right-Back,32.13M,sold,Summer,2017,2017/2018,international
Sporting Gijón,FC Barcelona,Primera Division,Douglas,26,Central Midfield,NA,on loan,Summer,2017,2017/2018,local
UD Las Palmas,FC Barcelona,Primera Division,Sergi Samper,23,Defensive Midfield,NA,on loan,Winter,2017,2017/2018,local
Valencia CF,FC Barcelona,Primera Division,Munir El Haddadi,21,Centre-Forward,NA,on loan,Summer,2017,2017/2018,local
Villarreal CF,FC Barcelona,Primera Division,Matías Nahuel,21,Left Winger,NA,on loan,Winter,2017,2017/2018,local
Atlético-MG,FC Barcelona,Primera Division,Emerson Royal,20,Right-Back,10.8M,sold,Winter,2018,2018/2019,international
Bayern Munich,FC Barcelona,1 Bundesliga,Arturo Vidal,31,Central Midfield,16.2M,sold,Summer,2018,2018/2019,international
Deportivo Alavés,FC Barcelona,Primera Division,Munir El Haddadi,22,Centre-Forward,NA,on loan,Summer,2018,2018/2019,local
FC Barcelona,Arsenal FC,Premier League,Denis Suárez,25,Attacking Midfield,2.25M,on loan,Winter,2018,2018/2019,international
FC Barcelona,Bor. Dortmund,Primera Division,Paco Alcácer,24,Centre-Forward,1.8M,on loan,Summer,2018,2018/2019,international
FC Barcelona,Borussia Dortmund,1 Bundesliga,Paco Alcácer,24,Centre-Forward,1.8M,on loan,Summer,2018,2018/2019,international
FC Barcelona,CD Leganés,Primera Division,José Manuel Arnáiz,23,Left Winger,4.5M,sold,Summer,2018,2018/2019,local
FC Barcelona,CD Leganés,Primera Division,Rodri Tarín,21,Centre-Back,NA,sold,Summer,2018,2018/2019,local
FC Barcelona,Celta de Vigo,Primera Division,David Costas,23,Centre-Back,NA,on loan,Summer,2018,2018/2019,local
FC Barcelona,Dep. La Coruña,Primera Division,Adrián Ortolá,24,Goalkeeper,NA,on loan,Summer,2018,2018/2019,local
FC Barcelona,Everton FC,Premier League,André Gomes,25,Central Midfield,2.03M,on loan,Summer,2018,2018/2019,international
FC Barcelona,Everton FC,Premier League,Lucas Digne,25,Left-Back,18.18M,sold,Summer,2018,2018/2019,international
FC Barcelona,Everton FC,Premier League,Yerry Mina,23,Centre-Back,27.23M,sold,Summer,2018,2018/2019,international
FC Barcelona,FC Barcelona,Primera Division,Marc Cardona,22,Centre-Forward,NA,sold,Summer,2018,2018/2019,local
FC Barcelona,FC Barcelona,Primera Division,Carles Aleñá,20,Central Midfield,NA,sold,Winter,2018,2018/2019,local
FC Barcelona,FC Barcelona,Primera Division,Adrián Ortolá,24,Goalkeeper,NA,sold,Summer,2018,2018/2019,local
FC Barcelona,FC Barcelona,Primera Division,Marc Cucurella,19,Left-Back,NA,sold,Summer,2018,2018/2019,local
FC Barcelona,FC Barcelona,Primera Division,Sergi Palencia,22,Right-Back,NA,sold,Summer,2018,2018/2019,local
FC Barcelona,FC Girondins Bordeaux,Ligue 1,Sergi Palencia,22,Right-Back,NA,on loan,Summer,2018,2018/2019,international
FC Barcelona,G. Bordeaux,Primera Division,Sergi Palencia,22,Right-Back,NA,on loan,Summer,2018,2018/2019,international
FC Barcelona,GZ Evergrande,Primera Division,Paulinho,29,Central Midfield,4.95M,on loan,Summer,2018,2018/2019,international
FC Barcelona,GZ Evergrande,Primera Division,Paulinho,30,Central Midfield,37.8M,sold,Winter,2018,2018/2019,international
FC Barcelona,Real Betis Balompié,Primera Division,Emerson Royal,20,Right-Back,5.4M,sold,Winter,2018,2018/2019,local
FC Barcelona,SD Eibar,Primera Division,Christian Rivera,20,Central Midfield,NA,on loan,Summer,2018,2018/2019,local
FC Barcelona,SD Eibar,Primera Division,José Antonio Martínez,25,Centre-Back,NA,sold,Summer,2018,2018/2019,local
FC Barcelona,SD Eibar,Primera Division,Marc Cardona,23,Centre-Forward,NA,on loan,Summer,2018,2018/2019,local
FC Barcelona,SD Eibar,Primera Division,Marc Cucurella,20,Left-Back,NA,on loan,Summer,2018,2018/2019,local
FC Barcelona,Sevilla FC,Primera Division,Munir El Haddadi,23,Centre-Forward,0.945M,sold,Winter,2018,2018/2019,local
FC Barcelona,Sevilla FC,Primera Division,Aleix Vidal,28,Right-Back,8.37M,sold,Summer,2018,2018/2019,local
FC Barcelona,Sivasspor,Primera Division,Douglas,27,Central Midfield,NA,on loan,Summer,2018,2018/2019,international
FC Barcelona,US Sassuolo,Serie A,Marlon,22,Centre-Back,10.8M,sold,Summer,2018,2018/2019,international
FC Barcelona,Villarreal CF,Primera Division,Matías Nahuel,21,Left Winger,NA,on loan,Summer,2018,2018/2019,local
FC Barcelona,Vissel Kobe,Primera Division,Andrés Iniesta,34,Central Midfield,NA,sold,Summer,2018,2018/2019,international
FC Barcelona,Vissel Kobe,Primera Division,Sergi Samper,24,Defensive Midfield,NA,sold,Winter,2018,2018/2019,international
FC Barcelona,Watford FC,Premier League,Gerard Deulofeu,24,Left Winger,11.7M,sold,Summer,2018,2018/2019,international
FC Bayern,FC Barcelona,Primera Division,Arturo Vidal,31,Central Midfield,16.2M,sold,Summer,2018,2018/2019,international
FC Girondins Bordeaux,FC Barcelona,Ligue 1,Malcom,21,Right Winger,36.9M,sold,Summer,2018,2018/2019,international
FC Internazionale,FC Barcelona,Primera Division,Rafinha,25,Right-Back,NA,on loan,Summer,2018,2018/2019,international
FC Toulouse,FC Barcelona,Primera Division,Jean-Clair Todibo,19,Centre-Back,0.9M,sold,Winter,2018,2018/2019,international
G. Bordeaux,FC Barcelona,Primera Division,Malcom,21,Right Winger,36.9M,sold,Summer,2018,2018/2019,international
GZ Evergrande,FC Barcelona,Primera Division,Paulinho,30,Central Midfield,NA,on loan,Winter,2018,2018/2019,international
Getafe CF,FC Barcelona,Primera Division,Merveil Ndockyt,20,Left Winger,NA,on loan,Winter,2018,2018/2019,local
Grêmio,FC Barcelona,Primera Division,Arthur,21,Central Midfield,27.9M,sold,Summer,2018,2018/2019,international
Inter Milan,FC Barcelona,Serie A,Rafinha,25,Right-Back,NA,on loan,Summer,2018,2018/2019,international
OGC Nice,FC Barcelona,Primera Division,Marlon,22,Centre-Back,NA,on loan,Summer,2018,2018/2019,international
SL Benfica,FC Barcelona,Primera Division,Douglas,27,Central Midfield,NA,on loan,Summer,2018,2018/2019,international
Sevilla FC,FC Barcelona,Primera Division,Clément Lenglet,23,Centre-Back,32.31M,sold,Summer,2018,2018/2019,local
US Sassuolo,FC Barcelona,Serie A,Kevin-Prince Boateng,31,Attacking Midfield,0.9M,on loan,Winter,2018,2018/2019,international
Valencia CF,FC Barcelona,Primera Division,Jeison Murillo,26,Centre-Back,1.08M,on loan,Winter,2018,2018/2019,local
Watford FC,FC Barcelona,Premier League,Gerard Deulofeu,24,Left Winger,NA,on loan,Summer,2018,2018/2019,international
Ajax Amsterdam,FC Barcelona,Primera Division,Frenkie de Jong,22,Central Midfield,77.4M,sold,Summer,2019,2019/2020,international
Arsenal FC,FC Barcelona,Premier League,Denis Suárez,25,Attacking Midfield,NA,on loan,Summer,2019,2019/2020,international
Atlético Madrid,FC Barcelona,Primera Division,Antoine Griezmann,28,Second Striker,108.0M,sold,Summer,2019,2019/2020,local
Atlético de Madrid,FC Barcelona,Primera Division,Antoine Griezmann,28,Second Striker,108.0M,sold,Summer,2019,2019/2020,local
Basaksehir,FC Barcelona,Primera Division,Arda Turan,32,Left Winger,NA,on loan,Winter,2019,2019/2020,international
Bor. Dortmund,FC Barcelona,Primera Division,Paco Alcácer,25,Centre-Forward,NA,on loan,Summer,2019,2019/2020,international
Borussia Dortmund,FC Barcelona,1 Bundesliga,Paco Alcácer,25,Centre-Forward,NA,on loan,Summer,2019,2019/2020,international
CD Leganés,FC Barcelona,Primera Division,Martin Braithwaite,28,Centre-Forward,16.2M,sold,Winter,2019,2019/2020,local
Dep. La Coruña,FC Barcelona,Primera Division,Adrián Ortolá,25,Goalkeeper,NA,on loan,Summer,2019,2019/2020,local
Everton FC,FC Barcelona,Premier League,André Gomes,25,Central Midfield,NA,on loan,Summer,2019,2019/2020,international
FC Barcelona,AS Roma,Serie A,Carles Pérez,21,Right Winger,0.9M,on loan,Winter,2019,2019/2020,international
FC Barcelona,AS Saint-Étienne,Primera Division,Sergi Palencia,23,Right-Back,1.8M,sold,Summer,2019,2019/2020,international
FC Barcelona,Bayern Munich,1 Bundesliga,Philippe Coutinho,27,Attacking Midfield,7.65M,on loan,Summer,2019,2019/2020,international
FC Barcelona,Besiktas,Primera Division,Douglas,28,Central Midfield,NA,sold,Summer,2019,2019/2020,international
FC Barcelona,Bor. Dortmund,Primera Division,Paco Alcácer,25,Centre-Forward,18.9M,sold,Summer,2019,2019/2020,international
FC Barcelona,Borussia Dortmund,1 Bundesliga,Paco Alcácer,25,Centre-Forward,18.9M,sold,Summer,2019,2019/2020,international
FC Barcelona,Borussia Dortmund,1 Bundesliga,Mateu Morey Bauzà,19,Right-Back,NA,sold,Summer,2019,2019/2020,international
FC Barcelona,CA Osasuna,Primera Division,Marc Cardona,23,Centre-Forward,2.25M,sold,Summer,2019,2019/2020,local
FC Barcelona,CD Tenerife,Primera Division,Adrián Ortolá,25,Goalkeeper,NA,sold,Summer,2019,2019/2020,local
FC Barcelona,Celta de Vigo,Primera Division,Rafinha,26,Right-Back,1.35M,on loan,Summer,2019,2019/2020,local
FC Barcelona,Celta de Vigo,Primera Division,Denis Suárez,25,Attacking Midfield,11.61M,sold,Summer,2019,2019/2020,local
FC Barcelona,Everton FC,Premier League,André Gomes,25,Central Midfield,22.5M,sold,Summer,2019,2019/2020,international
FC Barcelona,FC Barcelona,Primera Division,Juan Miranda,19,Left-Back,NA,sold,Summer,2019,2019/2020,local
FC Barcelona,FC Barcelona,Primera Division,Carles Pérez,21,Right Winger,NA,sold,Summer,2019,2019/2020,local
FC Barcelona,FC Barcelona,Primera Division,Moussa Wagué,20,Right-Back,NA,sold,Summer,2019,2019/2020,local
FC Barcelona,FC Bayern,Primera Division,Philippe Coutinho,27,Attacking Midfield,7.65M,on loan,Summer,2019,2019/2020,international
FC Barcelona,FC Schalke 04,1 Bundesliga,Jean-Clair Todibo,20,Centre-Back,1.35M,on loan,Winter,2019,2019/2020,international
FC Barcelona,FC Schalke 04,1 Bundesliga,Juan Miranda,19,Left-Back,NA,on loan,Summer,2019,2019/2020,international
FC Barcelona,Getafe CF,Primera Division,Marc Cucurella,20,Left-Back,NA,on loan,Summer,2019,2019/2020,local
FC Barcelona,Getafe CF,Primera Division,Merveil Ndockyt,20,Left Winger,NA,on loan,Summer,2019,2019/2020,local
FC Barcelona,OGC Nice,Primera Division,Moussa Wagué,21,Right-Back,NA,on loan,Winter,2019,2019/2020,international
FC Barcelona,Real Betis Balompié,Primera Division,Carles Aleñá,21,Central Midfield,NA,on loan,Winter,2019,2019/2020,local
FC Barcelona,Real Valladolid CF,Primera Division,Matheus Fernandes,21,Central Midfield,NA,on loan,Winter,2019,2019/2020,local
FC Barcelona,SC Braga,Liga Nos,Abel Ruiz,20,Centre-Forward,NA,on loan,Winter,2019,2019/2020,international
FC Barcelona,SD Eibar,Primera Division,Marc Cucurella,20,Left-Back,1.8M,sold,Summer,2019,2019/2020,local
FC Barcelona,Twente Enschede FC,Eredivisie,Oriol Busquets,20,Defensive Midfield,NA,on loan,Summer,2019,2019/2020,international
FC Barcelona,UD Las Palmas,Primera Division,Pedri,16,Central Midfield,NA,on loan,Summer,2019,2019/2020,local
FC Barcelona,US Sassuolo,Primera Division,Kevin-Prince Boateng,32,Attacking Midfield,NA,on loan,Summer,2019,2019/2020,international
FC Barcelona,Valencia CF,Primera Division,Jeison Murillo,27,Centre-Back,NA,on loan,Summer,2019,2019/2020,local
FC Barcelona,Valencia CF,Primera Division,Jasper Cillessen,30,Goalkeeper,31.5M,sold,Summer,2019,2019/2020,local
FC Barcelona,Vissel Kobe,Primera Division,Thomas Vermaelen,33,Centre-Back,NA,sold,Summer,2019,2019/2020,international
FC Barcelona,Zenit S-Pb,Primera Division,Malcom,22,Right Winger,36.0M,sold,Summer,2019,2019/2020,international
FC Barcelona,Zenit St. Petersburg,Premier Liga,Malcom,22,Right Winger,36.0M,sold,Summer,2019,2019/2020,international
FC Girondins Bordeaux,FC Barcelona,Ligue 1,Sergi Palencia,23,Right-Back,NA,on loan,Summer,2019,2019/2020,international
FC Groningen,FC Barcelona,Eredivisie,Ludovit Reis,19,Central Midfield,2.93M,sold,Summer,2019,2019/2020,international
G. Bordeaux,FC Barcelona,Primera Division,Sergi Palencia,23,Right-Back,NA,on loan,Summer,2019,2019/2020,international
Palmeiras,FC Barcelona,Primera Division,Matheus Fernandes,21,Central Midfield,6.3M,sold,Winter,2019,2019/2020,international
Real Betis Balompié,FC Barcelona,Primera Division,Junior Firpo,22,Left-Back,18.0M,sold,Summer,2019,2019/2020,local
Real Valladolid CF,FC Barcelona,Primera Division,Matheus Fernandes,22,Central Midfield,NA,on loan,Summer,2019,2019/2020,local
SD Eibar,FC Barcelona,Primera Division,Marc Cardona,23,Centre-Forward,NA,on loan,Summer,2019,2019/2020,local
SD Eibar,FC Barcelona,Primera Division,Marc Cucurella,20,Left-Back,3.6M,sold,Summer,2019,2019/2020,local
SD Eibar,FC Barcelona,Primera Division,Marc Cucurella,20,Left-Back,NA,on loan,Summer,2019,2019/2020,local
Sivasspor,FC Barcelona,Primera Division,Douglas,28,Central Midfield,NA,on loan,Summer,2019,2019/2020,international
UD Las Palmas,FC Barcelona,Primera Division,Pedri,16,Central Midfield,18.0M,sold,Summer,2019,2019/2020,local
Valencia CF,FC Barcelona,Primera Division,Neto,29,Goalkeeper,23.4M,sold,Summer,2019,2019/2020,local
AS Roma,FC Barcelona,Serie A,Carles Pérez,22,Right Winger,NA,on loan,Summer,2020,2020/2021,international
Ajax Amsterdam,FC Barcelona,Primera Division,Sergiño Dest,19,Right-Back,18.9M,sold,Summer,2020,2020/2021,international
Bayern Munich,FC Barcelona,1 Bundesliga,Philippe Coutinho,28,Attacking Midfield,NA,on loan,Summer,2020,2020/2021,international
Celta de Vigo,FC Barcelona,Primera Division,Rafinha,27,Right-Back,NA,on loan,Summer,2020,2020/2021,local
FC Barcelona,AS Roma,Serie A,Carles Pérez,22,Right Winger,11.25M,sold,Summer,2020,2020/2021,international
FC Barcelona,Atlético Madrid,Primera Division,Luis Suárez,33,Centre-Forward,6.3M,sold,Summer,2020,2020/2021,local
FC Barcelona,Atlético de Madrid,Primera Division,Luis Suárez,33,Centre-Forward,6.3M,sold,Summer,2020,2020/2021,local
FC Barcelona,FC Barcelona,Primera Division,Ansu Fati,17,Left Winger,NA,sold,Summer,2020,2020/2021,local
FC Barcelona,FC Barcelona,Primera Division,Ronald Araújo,21,Centre-Back,NA,sold,Summer,2020,2020/2021,local
FC Barcelona,FC Barcelona,Primera Division,Monchu,20,Central Midfield,NA,sold,Summer,2020,2020/2021,local
FC Barcelona,FC Barcelona,Primera Division,Riqui Puig,20,Central Midfield,NA,sold,Summer,2020,2020/2021,local
FC Barcelona,FC Barcelona,Primera Division,Óscar Mingueza,21,Centre-Back,NA,sold,Winter,2020,2020/2021,local
FC Barcelona,FC Famalicão,Liga Nos,Dani Morer,22,Right-Back,0.36M,sold,Summer,2020,2020/2021,international
FC Barcelona,FC Internazionale,Primera Division,Arturo Vidal,33,Central Midfield,NA,sold,Summer,2020,2020/2021,international
FC Barcelona,Galatasaray,Primera Division,Arda Turan,33,Left Winger,NA,sold,Summer,2020,2020/2021,international
FC Barcelona,Getafe CF,Primera Division,Carles Aleñá,23,Central Midfield,NA,on loan,Winter,2020,2020/2021,local
FC Barcelona,Getafe CF,Primera Division,Marc Cucurella,21,Left-Back,10.62M,sold,Summer,2020,2020/2021,local
FC Barcelona,Girona FC,Primera Division,Monchu,21,Central Midfield,NA,on loan,Summer,2020,2020/2021,local
FC Barcelona,Inter Milan,Serie A,Arturo Vidal,33,Central Midfield,NA,sold,Summer,2020,2020/2021,international
FC Barcelona,Juventus FC,Serie A,Arthur,24,Central Midfield,68.4M,sold,Summer,2020,2020/2021,international
FC Barcelona,OGC Nice,Primera Division,Jean-Clair Todibo,21,Centre-Back,NA,on loan,Winter,2020,2020/2021,international
FC Barcelona,PAOK Salonika,Primera Division,Moussa Wagué,21,Right-Back,NA,on loan,Summer,2020,2020/2021,international
FC Barcelona,Paris SG,Primera Division,Rafinha,27,Right-Back,1.35M,sold,Summer,2020,2020/2021,international
FC Barcelona,Paris Saint-Germain,Ligue 1,Rafinha,27,Right-Back,1.35M,sold,Summer,2020,2020/2021,international
FC Barcelona,Real Betis Balompié,Primera Division,Juan Miranda,20,Left-Back,NA,on loan,Summer,2020,2020/2021,local
FC Barcelona,SC Braga,Liga Nos,Abel Ruiz,20,Centre-Forward,7.2M,sold,Summer,2020,2020/2021,international
FC Barcelona,SL Benfica,Primera Division,Jean-Clair Todibo,20,Centre-Back,1.8M,on loan,Summer,2020,2020/2021,international
